Biomass species,Moisture,Ash,Volatile_Matter,Fixed_Carbon,Carbon,Hydrogen,Oxygen,Nitrogen,Particle_Size,Temperature,Heating_Rate,Flow_Rate,Biochar_Yield,Bio_Oil_Yield,Gas_Yield
Moso bamboo,5.7,1.12,86.23,12.65,47.2,5.77,44.23,0.27,0.32,400,10.0,500.0,30.7,35.2,34.1
Moso bamboo,5.7,1.12,86.23,12.65,47.2,5.77,44.23,0.27,0.32,500,10.0,500.0,26.0,36.6,37.4
Moso bamboo,5.7,1.12,86.23,12.65,47.2,5.77,44.23,0.27,0.32,600,10.0,500.0,24.3,36.1,39.6
Microalgae,5.7,1.2,85.3,8.04,55.2,8.25,26.67,1.71,0.32,700,10.0,500.0,23.6,34.1,42.3
Microalgae,5.7,1.2,85.3,8.04,55.2,8.25,26.67,1.71,0.75,400,20.0,100.0,64.87,13.89,23.3
Microalgae,5.7,1.2,85.3,8.04,55.2,8.25,26.67,1.71,0.75,500,20.0,100.0,20.99,26.45,55.0
Microalgae,5.7,1.2,85.3,8.04,55.2,8.25,26.67,1.71,0.75,600,20.0,100.0,20.78,22.34,60.71
Microalgae,5.7,1.2,85.3,8.04,55.2,8.25,26.67,1.71,0.75,700,20.0,100.0,21.1,30.51,52.69
Microalgae,5.7,1.2,85.3,8.04,55.2,8.25,26.67,1.71,0.75,800,20.0,100.0,19.92,19.98,61.29
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,350,10.0,100.0,50.07,29.04,20.89
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,400,10.0,100.0,45.09,33.07,21.27
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,450,10.0,100.0,37.31,38.16,24.22
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,500,10.0,100.0,31.46,41.97,26.52
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,550,10.0,100.0,31.4,40.2,28.4
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,600,10.0,100.0,30.06,39.5,35.64
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,650,10.0,100.0,23.36,38.81,37.09
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,350,50.0,100.0,47.16,30.83,20.91
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,400,50.0,100.0,42.16,35.76,22.12
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,450,50.0,100.0,34.48,41.3,23.11
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,500,50.0,100.0,28.24,45.19,25.97
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,550,50.0,100.0,25.11,44.32,29.45
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,600,50.0,100.0,24.87,41.81,32.3
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,650,50.0,100.0,24.21,39.5,34.13
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.25,500,50.0,100.0,37.4,26.94,34.17
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.38,500,50.0,100.0,39.54,27.94,30.99
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,500,50.0,100.0,45.49,29.14,25.71
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.8,500,50.0,100.0,43.82,36.41,20.44
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,1.35,500,50.0,100.0,41.59,37.79,20.49
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,500,50.0,50.0,39.53,33.78,26.4
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,500,50.0,100.0,45.18,27.93,27.17
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,500,50.0,150.0,42.7,27.2,29.7
sugar cane,5.4,3.1,80.2,11.3,44.86,5.87,48.97,0.24,0.55,500,50.0,200.0,41.85,26.72,31.22
straw ,5.7,22.55,60.84,16.61,48.75,5.98,43.28,1.99,0.83,300,10.0,1500.0,49.55,31.29,17.63
straw ,5.7,22.55,60.84,16.61,48.75,5.98,43.28,1.99,0.83,400,10.0,1500.0,32.75,41.96,24.01
straw ,5.7,22.55,60.84,16.61,48.75,5.98,43.28,1.99,0.83,500,10.0,1500.0,27.93,43.12,28.7
straw ,5.7,22.55,60.84,16.61,48.75,5.98,43.28,1.99,0.83,600,10.0,1500.0,25.71,45.2,28.32
straw ,5.7,22.55,60.84,16.61,48.75,5.98,43.28,1.99,0.83,700,10.0,1500.0,25.03,43.9,29.94
Mangosteen plants,7.3,3.6,73.2,15.9,47.6,5.5,46.1,0.8,0.8,300,10.0,1500.0,49.5,30.7,19.75
Mangosteen plants,7.3,3.6,73.2,15.9,47.6,5.5,46.1,0.8,0.8,400,10.0,1500.0,30.95,48.3,20.74
Mangosteen plants,7.3,3.6,73.2,15.9,47.6,5.5,46.1,0.8,0.8,450,10.0,1500.0,29.42,49.01,21.5
Mangosteen plants,7.3,3.6,73.2,15.9,47.6,5.5,46.1,0.8,0.8,500,10.0,1500.0,27.15,50.03,22.82
Mangosteen plants,7.3,3.6,73.2,15.9,47.6,5.5,46.1,0.8,0.8,550,10.0,1500.0,26.21,50.57,23.23
Mangosteen plants,7.3,3.6,73.2,15.9,47.6,5.5,46.1,0.8,0.8,600,10.0,1500.0,25.92,49.7,24.3
Mangosteen plants,7.3,3.6,73.2,15.9,47.6,5.5,46.1,0.8,0.8,700,10.0,1500.0,25.1,48.24,26.66
Peanut shells ,8.03,11.31,58.38,22.29,37.87,5.19,55.24,1.57,1.25,300,15.0,50.0,47.76,14.38,36.43
Peanut shells,8.03,11.31,58.38,22.29,37.87,5.19,55.24,1.57,1.25,400,15.0,50.0,41.42,15.83,40.79
Peanut shells,8.03,11.31,58.38,22.29,37.87,5.19,55.24,1.57,1.25,500,15.0,50.0,37.06,17.75,41.17
Peanut shells,8.03,11.31,58.38,22.29,37.87,5.19,55.24,1.57,1.25,600,15.0,50.0,35.43,15.12,46.12
Peanut shells,8.03,11.31,58.38,22.29,37.87,5.19,55.24,1.57,1.25,700,15.0,50.0,33.73,13.03,52.4
Peanut shells,8.03,11.31,58.38,22.29,37.87,5.19,55.24,1.57,1.25,800,15.0,50.0,32.35,10.29,55.6
Peanut shells,8.03,11.31,58.38,22.29,37.87,5.19,55.24,1.57,1.25,900,15.0,50.0,33.78,8.88,53.54
Pine needles,8.81,12.24,60.09,18.86,46.28,5.8,47.03,0.72,1.25,300,15.0,50.0,52.2,14.48,30.19
Pine needles,8.81,12.24,60.09,18.86,46.28,5.8,47.03,0.72,1.25,400,15.0,50.0,45.01,18.12,35.96
Pine needles,8.81,12.24,60.09,18.86,46.28,5.8,47.03,0.72,1.25,500,15.0,50.0,36.51,20.76,41.36
Pine needles,8.81,12.24,60.09,18.86,46.28,5.8,47.03,0.72,1.25,600,15.0,50.0,35.25,18.84,41.92
Pine needles,8.81,12.24,60.09,18.86,46.28,5.8,47.03,0.72,1.25,700,15.0,50.0,32.79,12.72,52.07
Pine needles,8.81,12.24,60.09,18.86,46.28,5.8,47.03,0.72,1.25,800,15.0,50.0,33.89,15.78,47.61
Pine needles,8.81,12.24,60.09,18.86,46.28,5.8,47.03,0.72,1.25,900,15.0,50.0,30.54,13.28,51.32
 C. vulgaris,6.26,6.11,76.13,11.5,47.32,6.9,36.45,8.48,1.25,300,15.0,50.0,43.05,20.64,35.92
 C. vulgaris,6.26,6.11,76.13,11.5,47.32,6.9,36.45,8.48,1.25,400,15.0,50.0,43.46,16.38,37.7
 C. vulgaris,6.26,6.11,76.13,11.5,47.32,6.9,36.45,8.48,1.25,500,15.0,50.0,29.28,32.69,34.25
 C. vulgaris,6.26,6.11,76.13,11.5,47.32,6.9,36.45,8.48,1.25,600,15.0,50.0,22.33,28.5,43.71
 C. vulgaris,6.26,6.11,76.13,11.5,47.32,6.9,36.45,8.48,1.25,700,15.0,50.0,23.73,27.25,46.8
 C. vulgaris,6.26,6.11,76.13,11.5,47.32,6.9,36.45,8.48,1.25,800,15.0,50.0,21.58,26.55,50.83
 C. vulgaris,6.26,6.11,76.13,11.5,47.32,6.9,36.45,8.48,1.25,900,15.0,50.0,19.3,21.04,58.29
Corncob,6.33,29.51,51.64,12.53,22.49,3.3,73.68,0.51,1.25,300,15.0,50.0,63.51,10.31,23.26
Corncob,6.33,29.51,51.64,12.53,22.49,3.3,73.68,0.51,11.25,400,15.0,50.0,54.42,11.43,31.02
Corncob,6.33,29.51,51.64,12.53,22.49,3.3,73.68,0.51,1.25,500,15.0,50.0,54.29,11.38,30.42
Corncob,6.33,29.51,51.64,12.53,22.49,3.3,73.68,0.51,1.25,600,15.0,50.0,50.93,10.68,35.92
Corncob,6.33,29.51,51.64,12.53,22.49,3.3,73.68,0.51,1.25,700,15.0,50.0,52.24,8.72,36.49
Corncob,6.33,29.51,51.64,12.53,22.49,3.3,73.68,0.51,1.25,800,15.0,50.0,48.27,8.28,41.43
Corncob,6.33,29.51,51.64,12.53,22.49,3.3,73.68,0.51,1.25,900,15.0,50.0,50.78,6.18,41.18
Dwarf palm,5.7,3.26,89.8,10.2,47.36,5.93,43.91,2.14,0.21,500,30.0,100.0,21.0,62.0,17.0
Stumbling shrub,5.7,2.24,77.7,22.3,54.36,5.81,38.91,0.8,0.2,500,30.0,100.0,23.0,55.0,22.0
Smooth Holly,5.7,1.88,80.2,19.8,54.63,6.42,37.97,0.87,0.32,500,30.0,100.0,18.0,60.0,22.0
Mistletoe,5.7,2.71,80.9,19.1,49.57,6.01,41.97,2.3,0.33,500,30.0,100.0,21.0,58.0,21.0
Little blue star,5.7,3.75,74.0,13.16,51.22,5.66,40.75,2.22,0.11,500,30.0,100.0,21.0,61.0,18.0
Long leaved pine leaves,5.7,1.84,70.99,18.08,51.37,3.0,44.31,1.21,0.42,500,30.0,100.0,20.0,58.0,22.0
Pinus longifolia litter,5.7,1.61,69.92,19.38,52.31,6.09,39.23,2.31,0.46,500,30.0,100.0,17.0,60.0,23.0
Sawn palm,5.7,2.9,67.24,20.77,49.49,5.48,43.96,0.9,0.22,500,30.0,100.0,22.0,54.0,24.0
Sparkle Berry,5.7,2.82,69.59,18.5,52.49,7.71,38.9,0.74,0.24,500,30.0,100.0,23.0,57.0,20.0
Marsh Bay,5.7,1.67,71.03,18.2,52.48,6.11,39.88,1.36,0.3,500,30.0,100.0,20.0,60.0,20.0
Water oak,5.7,3.8,70.21,16.9,50.06,5.57,42.8,1.47,0.18,500,30.0,100.0,22.0,57.0,21.0
Myrtle wax,5.7,2.19,68.67,20.05,50.65,5.44,41.46,2.31,0.19,500,30.0,100.0,21.0,54.0,25.0
Green bristlegrass,5.7,3.95,71.05,15.91,47.42,6.34,42.68,3.31,0.31,500,30.0,100.0,20.0,60.0,20.0
Tea substitute Holly,5.7,4.45,74.53,11.93,51.34,6.28,40.74,1.46,0.31,500,30.0,100.0,22.0,62.0,16.0
Carpinus betulus L.,2.28,9.52,78.83,9.37,41.78,5.36,52.26,0.6,0.75,400,7.0,100.0,40.37,18.63,13.68
Carpinus betulus L.,2.28,9.52,78.83,9.37,41.78,5.36,52.26,0.6,0.75,450,7.0,100.0,36.69,21.03,15.75
Carpinus betulus L.,2.28,9.52,78.83,9.37,41.78,5.36,52.26,0.6,0.75,500,7.0,100.0,35.25,22.15,16.23
Carpinus betulus L.,2.28,9.52,78.83,9.37,41.78,5.36,52.26,0.6,0.75,550,7.0,100.0,34.45,22.15,16.55
Carpinus betulus L.,2.28,9.52,78.83,9.37,41.78,5.36,52.26,0.6,0.75,600,7.0,100.0,33.33,20.55,18.47
Carpinus betulus L.,2.28,9.52,78.83,9.37,41.78,5.36,52.26,0.6,0.75,550,7.0,100.0,33.75,21.36,15.99
Carpinus betulus L.,2.28,9.52,78.83,9.37,41.78,5.36,52.26,0.6,0.75,550,15.0,100.0,33.32,21.83,16.16
Carpinus betulus L.,2.28,9.52,78.83,9.37,41.78,5.36,52.26,0.6,0.75,550,30.0,100.0,32.91,22.76,16.64
Carpinus betulus L.,2.28,9.52,78.83,9.37,41.78,5.36,52.26,0.6,0.75,550,50.0,100.0,32.66,22.66,17.59
Carpinus betulus L.,2.28,9.52,78.83,9.37,41.78,5.36,52.26,0.6,0.75,550,50.0,50.0,34.21,23.66,14.31
Carpinus betulus L.,2.28,9.52,78.83,9.37,41.78,5.36,52.26,0.6,0.75,550,50.0,100.0,32.43,24.41,14.6
Carpinus betulus L.,2.28,9.52,78.83,9.37,41.78,5.36,52.26,0.6,0.75,550,50.0,150.0,31.83,22.48,17.43
Switchgrass,8.4,3.9,84.2,11.9,42.0,6.1,47.4,0.4,2.0,400,20.0,100.0,48.37,22.38,7.21
Switchgrass,8.4,3.9,84.2,11.9,42.0,6.1,47.4,0.4,2.0,500,20.0,100.0,42.73,27.91,9.94
Switchgrass,8.4,3.9,84.2,11.9,42.0,6.1,47.4,0.4,2.0,600,20.0,100.0,25.41,37.61,25.23
Kasaud seed,9.7,5.8,84.0,0.5,40.8,6.1,48.9,3.9,1.5,450,20.0,100.0,39.28,33.94,26.53
Kasaud seed,9.7,5.8,84.0,0.5,40.8,6.1,48.9,3.9,1.5,475,20.0,100.0,31.57,36.51,31.57
Kasaud seed,9.7,5.8,84.0,0.5,40.8,6.1,48.9,3.9,1.5,500,20.0,100.0,27.22,42.15,30.18
Kasaud seed,9.7,5.8,84.0,0.5,40.8,6.1,48.9,3.9,1.5,525,20.0,100.0,26.23,47.88,25.14
Kasaud seed,9.7,5.8,84.0,0.5,40.8,6.1,48.9,3.9,1.5,550,20.0,100.0,25.73,50.35,23.56
Kasaud seed,9.7,5.8,84.0,0.5,40.8,6.1,48.9,3.9,1.5,575,20.0,100.0,25.54,49.07,24.94
Rhinoceros sawdust,8.78,0.45,78.14,12.63,45.18,6.59,48.23,1.0,0.65,400,40.0,100.0,26.79,21.62,28.08
Rhinoceros sawdust,8.78,0.45,78.14,12.63,45.18,6.59,48.23,1.0,0.65,450,40.0,100.0,25.78,21.61,29.08
Rhinoceros sawdust,8.78,0.45,78.14,12.63,45.18,6.59,48.23,1.0,0.65,500,40.0,100.0,25.62,22.61,29.21
Rhinoceros sawdust,8.78,0.45,78.14,12.63,45.18,6.59,48.23,1.0,0.65,550,40.0,100.0,23.17,26.62,30.21
Rhinoceros sawdust,8.78,0.45,78.14,12.63,45.18,6.59,48.23,1.0,0.65,600,40.0,100.0,22.45,29.77,28.47
Rhinoceros sawdust,8.78,0.45,78.14,12.63,45.18,6.59,48.23,1.0,0.65,550,10.0,100.0,23.06,30.38,18.46
Rhinoceros sawdust,8.78,0.45,78.14,12.63,45.18,6.59,48.23,1.0,0.65,550,20.0,100.0,22.19,29.08,19.17
Rhinoceros sawdust,8.78,0.45,78.14,12.63,45.18,6.59,48.23,1.0,0.65,550,30.0,100.0,22.03,32.51,17.58
Rhinoceros sawdust,8.78,0.45,78.14,12.63,45.18,6.59,48.23,1.0,0.65,550,40.0,100.0,22.88,29.92,26.47
Rhinoceros sawdust,8.78,0.45,78.14,12.63,45.18,6.59,48.23,1.0,0.65,550,50.0,100.0,22.44,29.05,25.17
Rhinoceros sawdust,8.78,0.45,78.14,12.63,45.18,6.59,48.23,1.0,0.65,550,30.0,50.0,22.28,32.71,13.85
Rhinoceros sawdust,8.78,0.45,78.14,12.63,45.18,6.59,48.23,1.0,0.65,550,30.0,100.0,20.98,35.55,13.84
Rhinoceros sawdust,8.78,0.45,78.14,12.63,45.18,6.59,48.23,1.0,0.65,550,30.0,150.0,21.11,30.96,15.96
Rice husk,9.5,12.7,62.7,15.1,37.86,5.24,35.32,0.68,0.65,400,20.0,100.0,23.2,42.9,33.9
Rice husk,9.5,12.7,62.7,15.1,37.86,5.24,35.32,0.68,0.65,450,20.0,100.0,39.3,34.0,26.7
Rice husk,9.5,12.7,62.7,15.1,37.86,5.24,35.32,0.68,0.65,500,20.0,100.0,46.9,30.0,23.1
Rice husk,9.5,12.7,62.7,15.1,37.86,5.24,35.32,0.68,0.65,550,20.0,100.0,40.0,34.3,25.7
Manikala sapota seed,0.0,1.19,77.02,21.79,52.7,5.0,40.0,1.46,1.0,400,20.0,100.0,33.17,39.4,27.05
Manikala sapota seed,0.0,1.19,77.02,21.79,52.7,5.0,40.0,1.46,1.0,450,20.0,100.0,28.51,42.41,28.92
Manikala sapota seed,0.0,1.19,77.02,21.79,52.7,5.0,40.0,1.46,1.0,500,20.0,100.0,24.56,45.0,30.17
Manikala sapota seed,0.0,1.19,77.02,21.79,52.7,5.0,40.0,1.46,1.0,550,20.0,100.0,22.9,41.78,35.15
Manikala sapota seed,0.0,1.19,77.02,21.79,52.7,5.0,40.0,1.46,1.0,600,20.0,100.0,20.52,37.74,41.58
Manikala sapota seed,0.0,1.19,77.02,21.79,52.7,5.0,40.0,1.46,1.0,500,20.0,50.0,30.87,40.96,28.08
Manikala sapota seed,0.0,1.19,77.02,21.79,52.7,5.0,40.0,1.46,1.0,500,20.0,80.0,24.13,45.19,30.58
Manikala sapota seed,0.0,1.19,77.02,21.79,52.7,5.0,40.0,1.46,1.0,500,20.0,100.0,22.88,43.65,33.08
Manikala sapota seed,0.0,1.19,77.02,21.79,52.7,5.0,40.0,1.46,1.0,500,20.0,120.0,21.83,39.33,38.46
Manikala sapota seed,0.0,1.19,77.02,21.79,52.7,5.0,40.0,1.46,0.5,500,20.0,100.0,24.33,45.63,30.8
Manikala sapota seed,0.0,1.19,77.02,21.79,52.7,5.0,40.0,1.46,1.0,500,20.0,100.0,28.66,41.51,30.13
Manikala sapota seed,0.0,1.19,77.02,21.79,52.7,5.0,40.0,1.46,1.5,500,20.0,100.0,33.34,39.55,28.08
Dried banana leaves,7.8,6.2,78.2,15.6,43.5,6.2,42.3,0.86,0.65,500,10.0,100.0,23.3,27.0,49.6
Sugarcane straw,10.4,16.4,74.0,13.0,43.2,6.7,33.2,0.3,0.65,500,10.0,100.0,48.2,35.5,20.4
wheat straw,4.56,4.89,79.92,15.18,44.93,5.71,48.73,0.63,0.65,500,20.0,100.0,60.6,21.7,17.1
grass,4.61,5.73,83.23,11.04,46.21,5.8,47.59,0.4,0.65,500,20.0,100.0,51.5,24.7,7.9
Miscanthus sinensis,4.55,4.46,75.62,19.92,46.95,5.85,46.28,0.92,0.65,500,20.0,100.0,60.27,19.17,11.1
Willow,5.71,2.96,81.19,15.85,48.48,5.74,43.91,1.87,0.65,500,20.0,100.0,51.4,19.28,19.89
Beech,4.24,0.96,85.89,13.15,53.04,5.42,41.63,0.0,0.65,500,20.0,100.0,67.8,12.6,13.3
Garlic stalk,5.81,8.8,5.82,2.21,42.29,6.03,47.84,3.84,2.0,400,30.0,50.0,30.25,37.85,31.35
Garlic stalk,5.81,8.8,5.82,2.21,42.29,6.03,47.84,3.84,2.0,450,30.0,50.0,26.38,38.67,35.5
Garlic stalk,5.81,8.8,5.82,2.21,42.29,6.03,47.84,3.84,2.0,500,30.0,50.0,24.72,39.64,35.22
Garlic stalk,5.81,8.8,5.82,2.21,42.29,6.03,47.84,3.84,2.0,550,30.0,50.0,26.24,37.85,36.05
Garlic stalk,5.81,8.8,5.82,2.21,42.29,6.03,47.84,3.84,2.0,600,30.0,50.0,24.72,39.23,36.46
Garlic stalk,5.81,8.8,5.82,2.21,42.29,6.03,47.84,3.84,0.8,500,30.0,50.0,31.93,35.89,32.34
Garlic stalk,5.81,8.8,5.82,2.21,42.29,6.03,47.84,3.84,2.0,500,30.0,50.0,26.71,40.51,32.99
Garlic stalk,5.81,8.8,5.82,2.21,42.29,6.03,47.84,3.84,4.0,500,30.0,50.0,25.31,40.74,33.23
Pepper stalk,2.82,5.82,68.06,23.3,46.23,5.6,46.42,1.75,2.0,300,30.0,50.0,45.53,33.41,21.16
Pepper stalk,2.82,5.82,68.06,23.3,46.23,5.6,46.42,1.75,2.0,350,30.0,50.0,38.13,38.13,22.67
Pepper stalk,2.82,5.82,68.06,23.3,46.23,5.6,46.42,1.75,2.0,400,30.0,50.0,31.99,44.66,23.21
Pepper stalk,2.82,5.82,68.06,23.3,46.23,5.6,46.42,1.75,2.0,450,30.0,50.0,29.88,45.34,24.31
Pepper stalk,2.82,5.82,68.06,23.3,46.23,5.6,46.42,1.75,2.0,500,30.0,50.0,26.94,45.47,26.66
Pepper stalk,2.82,5.82,68.06,23.3,46.23,5.6,46.42,1.75,2.0,550,30.0,50.0,26.93,46.15,26.51
Pepper stalk,2.82,5.82,68.06,23.3,46.23,5.6,46.42,1.75,2.0,600,30.0,50.0,26.77,46.55,26.49
Pepper stalk,2.82,5.82,68.06,23.3,46.23,5.6,46.42,1.75,2.0,650,30.0,50.0,25.78,45.28,28.99
Pepper stalk,2.82,5.82,68.06,23.3,46.23,5.6,46.42,1.75,0.8,480,30.0,50.0,31.29,33.48,31.97
Pepper stalk,2.82,5.82,68.06,23.3,46.23,5.6,46.42,1.75,2.0,480,30.0,50.0,32.44,39.56,28.33
Pepper stalk,2.82,5.82,68.06,23.3,46.23,5.6,46.42,1.75,4.0,480,30.0,50.0,27.56,45.65,26.88
Pepper stalk,2.82,5.82,68.06,23.3,46.23,5.6,46.42,1.75,7.0,480,30.0,50.0,28.57,46.25,25.15
Palm shell,4.7,8.6,73.5,13.2,52.05,5.37,42.1,0.49,2.0,500,10.0,100.0,35.26,47.43,17.31
EFB,6.9,2.91,79.4,10.8,43.06,5.98,50.42,0.55,2.0,500,10.0,100.0,29.05,45.75,25.2
Mesocarp fiber,8.6,5.8,78.0,8.6,45.03,6.15,47.89,0.94,2.0,500,10.0,100.0,29.8,43.87,26.33
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,1.2,400,5.0,0.0,23.1,46.86,30.05
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,1.2,500,5.0,0.0,20.81,49.05,30.14
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,1.2,550,5.0,0.0,20.29,49.19,30.52
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,1.2,600,5.0,0.0,20.19,47.43,32.38
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,1.2,700,5.0,0.0,20.0,39.86,40.14
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,1.2,400,40.0,0.0,18.96,46.04,35.0
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,1.2,500,40.0,0.0,18.63,45.85,35.52
safflower seed,5.7,2.2,80.8,11.3,60.46,9.08,27.36,3.1,1.2,550,40.0,0.0,18.49,45.57,35.94
